Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover-in_crore
24-Dec-15,20077.5,20081.05,19967.15,20057.8,-0.1%,9688521,412.39
28-Dec-15,20037.85,20184.6,20037.85,20152.75,0.57%,10558482,497.13
29-Dec-15,20175.75,20232.85,20018.15,20053.8,-0.6%,8223936,485.16
30-Dec-15,20114.4,20126.1,20017.1,20068.55,-0.23%,10473663,509.29
31-Dec-15,20064.4,20245.4,19993.5,20192.65,0.64%,14142210,671.72
01-Jan-16,20181.5,20258.05,20118.15,20184.95,0.02%,3257282,200.99
04-Jan-16,20112,20145.75,19981.5,20087.8,-0.12%,7816364,415.68
05-Jan-16,20087.35,20141.6,19994.5,20047.45,-0.2%,9930543,495.1
06-Jan-16,20120.5,20120.5,19665.6,19689.45,-2.14%,16727060,769.45
07-Jan-16,19600.45,19600.45,19235.95,19261.55,-1.73%,15359281,746.88
08-Jan-16,19337.75,19497.15,19312.55,19359.25,0.11%,12595103,609.59
11-Jan-16,19203.9,19373.55,19119.7,19329.65,0.65%,12315022,606.28
12-Jan-16,19320.85,19386.1,19236.1,19340.55,0.1%,11232866,525.83
13-Jan-16,19433.8,19547.05,19214.5,19414.7,-0.1%,12492336,603.66
14-Jan-16,19290.65,19530.45,19199.2,19438.15,0.76%,14106418,634.19
15-Jan-16,19397.45,19427,19044.5,19095.45,-1.56%,12752574,661.79
18-Jan-16,19040.35,19156.15,18967.7,19006.8,-0.18%,16497382,740.89
19-Jan-16,19019.2,19172.15,18976.65,19041.2,0.12%,10028460,470.9
20-Jan-16,18877.7,18928,18560.5,18758.35,-0.63%,14812940,679.95
21-Jan-16,18880.5,18880.5,18433.5,18468.35,-2.18%,17848614,755.38
22-Jan-16,18621.15,18707.5,18416.6,18555.45,-0.35%,19754689,887.01
25-Jan-16,18489.1,18707.55,18452.7,18567.95,0.43%,12467362,679.64
27-Jan-16,18591.15,18664.7,18472.05,18584.8,-0.03%,16466789,966.37
28-Jan-16,18574.6,19021.35,18553.05,18899.5,1.75%,20541108,1051.45
29-Jan-16,19044.6,19198.3,19027.05,19132.65,0.46%,17991401,888.6
01-Feb-16,19133.1,19300.45,19005.7,19283.35,0.79%,13629668,733.43
02-Feb-16,19301.3,19370.6,19146.75,19194.25,-0.55%,11229638,651.66
03-Feb-16,19069.05,19326.75,19032.7,19204.7,0.71%,11865007,733.11
04-Feb-16,19299.05,19379.2,19201.75,19275.4,-0.12%,10362504,628.12
05-Feb-16,19295.45,19514.6,19294.35,19465.4,0.88%,13695275,694.87
08-Feb-16,19532.5,19532.5,19146,19184.6,-1.78%,10653261,485.65
09-Feb-16,19086.5,19159,18933.8,19007.25,-0.42%,13248816,587.08
10-Feb-16,19019,19037.3,18719.55,18791.65,-1.2%,12355495,593.51
11-Feb-16,18834.45,18834.45,18183.55,18227.25,-3.22%,21588600,855.5
12-Feb-16,18259.25,18433.75,18205.9,18328.35,0.38%,19648176,873.94
15-Feb-16,18515.35,18615.05,18337.95,18510,-0.03%,17463479,842.94
16-Feb-16,18509.6,18542.8,18051.75,18123.3,-2.09%,13430000,636.53
17-Feb-16,18158.2,18360,17770.9,18300.5,0.78%,15087908,644.94
18-Feb-16,18413.45,18620.95,18408.2,18579.35,0.9%,13250691,605.52
19-Feb-16,18613.25,18613.25,18402.95,18574.15,-0.21%,12086546,533.72
22-Feb-16,18526.4,18672.45,18287.4,18657.3,0.71%,18114085,867.02
23-Feb-16,18594.45,18594.45,18285.3,18329.6,-1.42%,11810766,572.66
24-Feb-16,18300.65,18355.4,18008.3,18099.25,-1.1%,14968364,643.96
25-Feb-16,18020.35,18210.7,18012.5,18094.75,0.41%,26684285,903.47
26-Feb-16,18258.75,18369.9,18087.05,18306.6,0.26%,16068522,948.62
29-Feb-16,18295.4,18580.3,17406.9,18331.6,0.2%,59158260,2010.45
01-Mar-16,18630.55,19378.9,18630.55,19317,3.68%,51885535,1902.04
02-Mar-16,19455,19666.3,19233.55,19260.4,-1%,24597437,1075.22
03-Mar-16,19412.2,19453.05,19166.5,19208.7,-1.05%,14893383,731.46
04-Mar-16,19277.45,19348.7,19097.7,19144.95,-0.69%,14653390,785.06
08-Mar-16,19147.9,19409.45,19126.8,19214,0.35%,16046829,851.35
09-Mar-16,19085.65,19279.7,18960.5,19248.55,0.85%,21674050,907.26
10-Mar-16,19236.7,19300.75,18919.75,19066.05,-0.89%,15351563,734.93
11-Mar-16,19082.2,19384.95,19060.55,19354.4,1.43%,17884301,1044.08
14-Mar-16,19451.25,19583.75,19428.65,19535.15,0.43%,13740459,764.54
15-Mar-16,19551.75,19551.75,19083.35,19136.45,-2.12%,18821353,898.45
16-Mar-16,19149.2,19378.35,19132.95,19336.8,0.98%,14929055,837.7
17-Mar-16,19434.05,19503.55,19366.35,19445.2,0.06%,20821835,956.28
18-Mar-16,19513.75,19602.3,19368.45,19555.3,0.21%,19108905,897.87
21-Mar-16,19593.55,19960.25,19593.55,19928.45,1.71%,19526145,940.68
22-Mar-16,19827.2,19889.85,19533.9,19609,-1.1%,22230057,1043.88
23-Mar-16,19662.45,19662.65,19463.05,19629.65,-0.17%,16862650,813.21
28-Mar-16,19720.6,19785.3,19425.45,19462.8,-1.31%,19023984,921.99
29-Mar-16,19392.05,19634.15,19352,19375.45,-0.09%,20255025,814.73
30-Mar-16,19431.45,19744.2,19431.45,19690.95,1.34%,18742136,828.88
31-Mar-16,19626,19891.6,19609.35,19764.15,0.7%,30164378,1420.52
01-Apr-16,19672.25,20026.35,19672.25,19992.1,1.63%,15830554,718.37
04-Apr-16,19727.4,19948.5,19727.4,19890.6,0.83%,13478057,671.06
05-Apr-16,19788.5,19831.1,19591.35,19635.4,-0.77%,11814273,623.74
06-Apr-16,19662.8,19725.9,19605.35,19657.55,-0.03%,11579526,648.12
07-Apr-16,19695.8,19695.8,19345.55,19384.05,-1.58%,12095927,561.42
08-Apr-16,19388.1,19489.3,19364.7,19451.7,0.33%,7972081,440.71
11-Apr-16,19477.6,19683.15,19219.9,19651.25,0.89%,14736915,799.32
12-Apr-16,19604.75,19650.45,19499.25,19606.6,0.01%,10428646,715.11
13-Apr-16,19722.9,20082.6,19712.1,20045.2,1.63%,16928860,953.96
18-Apr-16,20172.55,20306.65,20047.9,20253.95,0.4%,16089404,769.28
20-Apr-16,20252.85,20349.05,20123.4,20246.6,-0.03%,13499104,771.06
21-Apr-16,20268.55,20300.2,19965.75,20071.1,-0.97%,10025495,542.36
22-Apr-16,19930.85,20111.45,19834.95,19876.5,-0.27%,9896731,515.42
25-Apr-16,19711.85,19860.7,19652.55,19715.65,0.02%,9559920,511.98
26-Apr-16,19464.3,19933.7,19464.3,19890.55,2.19%,16199418,755.8
27-Apr-16,19852.5,20165.3,19852.5,20141.55,1.46%,12627872,572.94
28-Apr-16,20058.95,20088.3,19629.6,19667.6,-1.95%,31921680,1749.31
29-Apr-16,19693.85,19800.7,19549.1,19737.7,0.22%,18117228,907.57
02-May-16,19687.55,19752.4,19557.85,19728.4,0.21%,10712912,474.87
03-May-16,19755.75,19810.2,19403.6,19478.35,-1.4%,17920851,1125.82
04-May-16,19426.05,19548.55,19221.65,19295.85,-0.67%,12062410,730.29
05-May-16,19317.25,19577.5,19298.2,19466.3,0.77%,10351419,615.57
06-May-16,19323.5,19588.95,19124.6,19521.95,1.03%,16862203,774.3
09-May-16,19610.5,19885.4,19608.7,19752.65,0.72%,15159314,908.82
10-May-16,19770.6,19879.2,19736.75,19836.7,0.33%,12829395,753.43
11-May-16,19637.05,19789.55,19580.75,19726.9,0.46%,12740837,668.12
12-May-16,19754.4,19848.3,19618.6,19748.7,-0.03%,9000328,624.19
13-May-16,19722.6,19752.8,19564.35,19667.7,-0.28%,14296631,826.82
16-May-16,19650.35,19995.4,19520.3,19977.1,1.66%,15786849,799.08
17-May-16,20032.6,20085.5,19892.15,19960.9,-0.36%,13754289,705.47
18-May-16,19846.1,20011.15,19729.95,19963.9,0.59%,11190297,642.99
19-May-16,20023.9,20023.9,19565.4,19612.85,-2.05%,13241228,682.14
20-May-16,19710.7,19909.15,19538.75,19705,-0.03%,19147725,882.32
23-May-16,20312.05,20414,19947.55,20179.05,-0.65%,41714310,1740.91
24-May-16,20214.6,20297.75,20138.7,20225.4,0.05%,27323442,1846.4
25-May-16,20344.5,20678.9,20331.3,20639.8,1.45%,15014623,871.59
26-May-16,20650.8,20971.95,20559.95,20920.65,1.31%,18649728,1144.93
27-May-16,20934.35,21022.4,20764.5,20907.55,-0.13%,14857153,1017.92
30-May-16,20745.35,20874.55,20726.3,20807.05,0.3%,11210735,671.23
02-Jan-17,20793.35,20793.35,20574.7,20710.35,-0.4%,8577699,322.71
03-Jan-17,20719.6,20962.55,20620.05,20864.15,0.7%,11394806,452.74
04-Jan-17,20862.15,21014.6,20676.75,20935.25,0.35%,16645373,672.57
05-Jan-17,20927.55,21108.75,20912.6,21070.5,0.68%,13984660,566.85
06-Jan-17,21085.65,21230.45,20839.8,20867.1,-1.04%,16311856,679.07
09-Jan-17,20906.5,21021.1,20842.8,20987.25,0.39%,8081970,361.08
10-Jan-17,21019.65,21207.2,21010.35,21157.75,0.66%,17177190,633.51
11-Jan-17,21210.65,21290.25,21119.2,21194.55,-0.08%,13121460,562.89
12-Jan-17,21227.2,21227.2,20953.55,20988.05,-1.13%,11540326,469.18
13-Jan-17,21081.8,21297.4,20910.35,21232.95,0.72%,11714589,411.13
16-Jan-17,21214.7,21280.6,21098.55,21197.7,-0.08%,7845010,345.18
17-Jan-17,21203.45,21466.05,21199.75,21442.95,1.13%,11641685,700.57
18-Jan-17,21446.45,21685,21439.7,21529.55,0.39%,17123218,1266.75
19-Jan-17,21490.45,21698.8,21471.3,21634.15,0.67%,16348609,847.48
20-Jan-17,21623.9,21723.35,21596.6,21641.05,0.08%,17540558,805.69
23-Jan-17,21613.85,21898.5,21612.45,21873.8,1.2%,17684209,1002.35
24-Jan-17,21871.3,21934.9,21716.5,21908.4,0.17%,15494356,777.41
25-Jan-17,21903.4,22260.8,21888.8,22206.25,1.38%,26504811,1051.96
27-Jan-17,22135.35,22312.2,21744.7,21798.2,-1.52%,32213708,1340.13
30-Jan-17,21851.2,21997.1,21747.65,21786.3,-0.3%,14150550,631.2
31-Jan-17,21812.45,21949.65,21725.95,21832.65,0.09%,18509740,828.35
01-Feb-17,21930.65,22519.25,21845,22496.7,2.58%,42320298,1537.21
02-Feb-17,22582.8,22980.25,22436.35,22696.2,0.5%,49966273,1779.48
03-Feb-17,22686.95,22765.65,22494.75,22645.15,-0.18%,19821151,788.19
06-Feb-17,22758.65,22993.7,22726.15,22904.4,0.64%,21486918,1121.54
07-Feb-17,23015.5,23602,22817.4,22877.75,-0.6%,37965642,1479.79
08-Feb-17,22832.05,22945.5,22605.7,22766.25,-0.29%,18729617,780.54
09-Feb-17,22834,22924.2,22589.6,22874.95,0.18%,11878856,593.35
10-Feb-17,22921.5,22961.05,22608.2,22709.3,-0.93%,14320214,736.57
13-Feb-17,22839.7,22880.65,22479.9,22649,-0.83%,15629210,699.43
14-Feb-17,22633.1,22776.4,22512.2,22596.05,-0.16%,13364405,666.44
15-Feb-17,22616.7,22821.35,22573.35,22674.4,0.26%,13737115,629.79
16-Feb-17,22547.75,22602.35,22334.75,22379.7,-0.75%,21205174,1101.6
17-Feb-17,22434.5,22482.85,22236.2,22445.8,0.05%,14729319,655.92
20-Feb-17,22388.45,22477.5,22386.05,22439.65,0.23%,12102647,631.47
21-Feb-17,22443.05,22487.5,22232.6,22450.55,0.03%,19326959,887.26
22-Feb-17,22537.85,22593.75,22338.55,22426.4,-0.49%,17407801,847.3
23-Feb-17,22479.85,22557.4,22327.65,22434.75,-0.2%,22891722,1007.24
27-Feb-17,22435.7,22471.3,22081.2,22419.6,-0.07%,13124206,627.7
28-Feb-17,22358.25,22430.8,22278.25,22338.2,-0.09%,17631727,790.21
01-Mar-17,22378.35,22716.55,22366.7,22650.85,1.22%,25234678,914.43
02-Mar-17,22688.55,22777.4,22350.5,22417.3,-1.2%,21710542,1239.12
03-Mar-17,22294.15,22361.75,22097.95,22280.7,-0.06%,17686683,787.4
06-Mar-17,22354.75,22435.25,22280.1,22392.3,0.17%,16280265,660.74
07-Mar-17,22417.45,22450.95,22251.4,22393.1,-0.11%,11875337,581.5
08-Mar-17,22400.2,22430.25,22296.9,22365.2,-0.16%,11324415,540.58
09-Mar-17,22440.7,22449.8,22259.3,22392,-0.22%,14472805,594.91
10-Mar-17,22405.05,22441.45,22287.95,22341.75,-0.28%,13828720,677.27
14-Mar-17,22567.35,22825.2,22566.15,22743.75,0.78%,28587976,1253.06
15-Mar-17,22662.1,22910.05,22662.1,22793.15,0.58%,22270293,939.46
16-Mar-17,22930.85,22986.05,22806.75,22905.45,-0.11%,21367535,851.44
17-Mar-17,23293.6,23843.9,23293.6,23491.25,0.85%,65389304,2206.82
20-Mar-17,23577.6,23605.65,23336.7,23500.25,-0.33%,24661847,892.73
21-Mar-17,23567.2,23848.95,23513.3,23796.65,0.97%,21893904,992.03
22-Mar-17,23573.85,23756,23332.95,23390.75,-0.78%,22090403,994.36
23-Mar-17,23288.3,23554.7,23212.3,23335.3,0.2%,29139093,952.93
24-Mar-17,23393.7,23552.5,23390.8,23455.1,0.26%,14203748,575.89
27-Mar-17,23435.9,23540.05,23251.7,23444.05,0.03%,23025591,934.75
28-Mar-17,23467,23516.25,23406.65,23467.7,0%,13441088,562.43
29-Mar-17,23474.35,23698.85,23467.85,23672.5,0.84%,17140086,807.72
30-Mar-17,23711.8,23776.65,23536.7,23671,-0.17%,28875480,1487.38
31-Mar-17,23596.4,23676,23460.3,23542.3,-0.23%,17360253,882.49
03-Apr-17,23641.25,23717.5,23426.25,23639.6,-0.01%,16545054,887.66
05-Apr-17,23714.65,23728.35,23483.8,23583.7,-0.55%,20014170,998.26
06-Apr-17,23530.35,23561.45,23278.95,23349,-0.77%,24420256,932.77
07-Apr-17,23257.25,23333.35,23171.25,23235.55,-0.09%,16043352,645.55
10-Apr-17,23338,23341.55,23206.65,23264.75,-0.31%,14908551,798.91
11-Apr-17,23224,23682.4,23154.9,23651.75,1.84%,18446348,881.59
12-Apr-17,23612.5,23794.8,23478.65,23670.2,0.24%,17183325,1004.92
13-Apr-17,23678,23682.1,23423.6,23507.9,-0.72%,10194939,608.8
17-Apr-17,23399.7,23644.8,23345.95,23459.9,0.26%,8970659,404.21
18-Apr-17,23521.2,23723.05,23322.55,23382.95,-0.59%,10594141,513.95
19-Apr-17,23486.6,23509.85,23354.7,23387.15,-0.42%,9820168,501.72
20-Apr-17,23457.25,23552.75,23389.25,23495.15,0.16%,11663907,747.8
21-Apr-17,23637,23637,23145.6,23229.8,-1.72%,14559732,644.95
24-Apr-17,23346.9,23390.55,23084.8,23344.65,-0.01%,12058743,536.46
25-Apr-17,23427.45,23806.4,23242.95,23764.85,1.44%,19135595,817.59
26-Apr-17,23882.65,24388.6,23824.05,24304.3,1.77%,31525111,1262.15
27-Apr-17,24329.7,24366.85,23996.4,24067,-1.08%,22844594,1068.83
28-Apr-17,24056.3,24094.05,23622.85,23675.4,-1.58%,21244268,1048.51
02-May-17,23764.25,23807.6,23574.9,23755.1,-0.04%,21430462,1015.92
03-May-17,23825.85,23826.15,23566.65,23683.8,-0.6%,16261666,777.92
04-May-17,23703.55,23990.85,23668.5,23951.8,1.05%,16831540,787.09
05-May-17,23923.35,23933.35,23609.25,23630.45,-1.22%,12975110,545.27
08-May-17,23685.25,23728.95,23422.65,23442.2,-1.03%,18343204,647.33
09-May-17,23495.45,23625.7,23386.5,23527.85,0.14%,15679490,1013.62
10-May-17,23585.25,23995.15,23572.65,23954.35,1.56%,16545016,1075.4
11-May-17,24035.9,24169.85,23956.55,24025.85,-0.04%,20996573,1430.21
12-May-17,24063.15,24067.2,23864.45,23966.95,-0.4%,10985862,761.81
15-May-17,24028.45,24189.45,24015.3,24119.45,0.38%,14773590,808.43
16-May-17,24137.55,24412.9,24065.35,24370.55,0.97%,24861009,1131.84
17-May-17,24399.3,24410.2,24132.65,24266.75,-0.54%,24074864,1066.09
18-May-17,24082.15,24204.2,23812.15,23864,-0.91%,17541639,964.95
19-May-17,24202.6,24922.5,24184.75,24352.9,0.62%,48630642,1985.69
22-May-17,24707.5,25279.9,24654.3,25230,2.11%,44756886,1920.8
23-May-17,25188.35,25232.75,24961.2,25002.35,-0.74%,35435916,1573.43
24-May-17,25024.45,25103.5,24881.35,24986.5,-0.15%,17836394,906.97
25-May-17,25030.4,25223.85,24818.4,25056.65,0.1%,34432509,1449.73
26-May-17,25150.9,25711.15,25071.45,25507.55,1.42%,28182758,1212.03
29-May-17,25288.15,26080.8,25264,25948.05,2.61%,29414882,1284.01
01-Jan-18,26885.6,26960.5,26636.4,26686.35,-0.74%,15110093,725.21
02-Jan-18,26734.35,26802.35,26474.05,26533.5,-0.75%,12462339,813.33
03-Jan-18,26606.95,26762.8,26572.35,26648.4,0.16%,20023647,1079.33
04-Jan-18,26657.1,26718.65,26611.05,26689.6,0.12%,17409477,934.26
05-Jan-18,26730.4,26946.6,26728.55,26914.3,0.69%,19321951,1499.96
08-Jan-18,26980.65,27147,26954.4,27120.85,0.52%,22820261,1148.62
09-Jan-18,27150.75,27367.1,27056.75,27249.2,0.36%,32220918,1343.91
10-Jan-18,27397.45,27482.8,27164.7,27210.6,-0.68%,24237721,1255.31
11-Jan-18,27186.8,27338.7,27143.75,27307.7,0.44%,21301310,1106.87
12-Jan-18,27370.3,27424.05,27035.7,27196.65,-0.63%,29277994,1438.12
15-Jan-18,27238.85,27404.15,27148.8,27171.4,-0.25%,21129791,1143.76
16-Jan-18,27229.6,27327.55,26796.8,26874.55,-1.3%,22816313,1171.45
17-Jan-18,26906.15,27117.6,26631.95,27044.75,0.52%,27758956,1485.79
18-Jan-18,27304.3,27567.1,27140.35,27347.85,0.16%,38956924,2021.97
19-Jan-18,27539.3,27573.65,27238,27517.1,-0.08%,39050314,2443.31
22-Jan-18,27555.8,27680.1,27452.25,27607.75,0.19%,24017874,2549.8
23-Jan-18,27673.7,27801.2,27589.1,27761.45,0.32%,31110307,1983.6
24-Jan-18,27691.5,27924.2,27562.95,27889.05,0.71%,29611634,2382.86
25-Jan-18,27866.15,27895.5,27614.35,27716.5,-0.54%,27303323,2039.79
29-Jan-18,27735.45,27858.75,27464.6,27557.35,-0.64%,18192106,1176.36
30-Jan-18,27503.4,27579.4,27313.9,27512.1,0.03%,22072257,1313.72
31-Jan-18,27457.15,27479.8,27012.9,27127.3,-1.2%,36400861,1871.65
01-Feb-18,27190.45,28099.6,26843.6,27351.9,0.59%,72530946,2833.93
02-Feb-18,27164.95,27735.85,26871.1,27180.1,0.06%,49825017,2152.72
05-Feb-18,26898.15,27281.1,26802.2,27191.7,1.09%,36207512,1858.26
06-Feb-18,26257.15,26899.8,26193.15,26672.6,1.58%,34339414,1863.51
07-Feb-18,26984.8,27023.1,26691.65,26733.55,-0.93%,28790960,1396.42
08-Feb-18,26856.85,26944.85,26678.95,26786.6,-0.26%,22520502,1137.57
09-Feb-18,26460.15,26724.6,26342.55,26664.3,0.77%,21952594,1090.7
12-Feb-18,26849.4,26945.1,26707.85,26782.2,-0.25%,19396923,1090.35
14-Feb-18,26900,26926.95,26557.2,26645.1,-0.95%,21864465,1277.99
15-Feb-18,26701.75,26877.25,26597.95,26733.5,0.12%,20616456,1332.17
16-Feb-18,26890.75,26906,26520.35,26599.05,-1.08%,13858785,979.9
19-Feb-18,26635.55,26659.3,26262.55,26411.4,-0.84%,13027486,777.23
20-Feb-18,26411.9,26537.55,26303.5,26356.4,-0.21%,19465315,1050.4
21-Feb-18,26468.4,26603.95,26388.5,26572,0.39%,19584422,1002.13
22-Feb-18,26530.3,26574.35,26400.65,26460.75,-0.26%,33133430,1601.29
23-Feb-18,26538.05,26699.6,26448.3,26669.9,0.5%,16522592,892.97
26-Feb-18,26677.85,26779.75,26610,26645.85,-0.12%,19990797,1060.48
27-Feb-18,26767.55,26807.2,26681.95,26728.2,-0.15%,18478957,1154.86
28-Feb-18,26592.55,26640.55,26440.4,26513.7,-0.3%,24194450,1205.85
01-Mar-18,26489.6,26589.55,26380.85,26492.35,0.01%,16274536,922.21
05-Mar-18,26434.8,26434.85,26093.35,26164.75,-1.02%,20210900,935.41
06-Mar-18,26232.65,26353.05,25793.7,25891.8,-1.3%,20378186,1161.27
07-Mar-18,25887.1,26139.3,25730.8,26061.1,0.67%,26614374,1254.78
08-Mar-18,26165,26262.55,25883.85,25953.2,-0.81%,22767148,1184.44
09-Mar-18,25993,26140,25951.4,26020.05,0.1%,14436354,1048.57
12-Mar-18,26322.15,26743.15,26271.05,26703,1.45%,28759743,1392.22
13-Mar-18,26694.95,26817.45,26482.25,26644.8,-0.19%,18431868,981.65
14-Mar-18,26549.1,26584.4,26371.85,26532.15,-0.06%,16077554,828.21
15-Mar-18,26479,26638.3,26341.75,26381.3,-0.37%,15975480,1130.49
16-Mar-18,26438.5,26438.5,25911.05,26052.15,-1.46%,36372384,1945.96
19-Mar-18,26127.85,26152.55,25885.95,25935.8,-0.74%,23928336,1267.1
20-Mar-18,25864.4,26084.8,25860.9,26044,0.69%,19194578,987.04
21-Mar-18,26117.8,26245.75,26059.8,26093,-0.09%,24952076,1488.84
22-Mar-18,26126.55,26228.45,26009,26036.15,-0.35%,21099810,1633.84
23-Mar-18,25749.2,26025.6,25695.95,25910.05,0.62%,22239103,1406.33
26-Mar-18,25795.05,26218.4,25777.95,26168.95,1.45%,24719377,1521.04
27-Mar-18,26300.45,26362.6,26132.85,26300.15,0%,20571765,1367.88
28-Mar-18,26210.2,26316.5,26055,26127.4,-0.32%,27855305,1637.31
02-Apr-18,26169.35,26573.45,26151,26501.45,1.27%,,
03-Apr-18,26462.95,26588.65,26357.05,26506.45,0.16%,14028759,980.28
04-Apr-18,26551.35,26586.25,26375.6,26448.05,-0.39%,18929208,1122.59
05-Apr-18,26467.45,26698.7,26447.6,26676.45,0.79%,16795351,853.54
06-Apr-18,26747.05,26835,26667.9,26805.9,0.22%,15244584,1262.09
09-Apr-18,26811.85,27140.05,26803.6,27107.7,1.1%,20811836,1191.48
10-Apr-18,27188.55,27208.55,27049.4,27103.45,-0.31%,22459528,1098.24
11-Apr-18,27140.4,27223,26950.75,27159.4,0.07%,14391285,1136.39
12-Apr-18,27168.5,27174,26971.25,27041.45,-0.47%,14769032,1045.84
13-Apr-18,27133.8,27156.55,26898.25,26982.9,-0.56%,14071105,1126.84
16-Apr-18,26932.4,27295.65,26924.2,27267.2,1.24%,12348120,754.83
17-Apr-18,27354.6,27571.05,27228,27536.7,0.67%,24907586,1346.87
18-Apr-18,27650.45,28184.25,27589.65,28016.85,1.33%,37251254,1613.85
19-Apr-18,28158.75,28290.7,28036.5,28173.2,0.05%,23764360,1243.76
20-Apr-18,28055.1,28246.95,27926.8,28110.95,0.2%,17861913,960.92
23-Apr-18,28136.6,28180.65,28003.9,28022.05,-0.41%,17360905,887.88
24-Apr-18,28130,28282.3,28009.75,28078.7,-0.18%,16181415,982.89
25-Apr-18,28070.75,28138.25,27873.75,28013.1,-0.21%,14645098,867.14
26-Apr-18,28102.65,28399.45,28010,28342.35,0.85%,35730630,1760.73
27-Apr-18,28445.5,28557.95,28371.5,28433.5,-0.04%,17543978,1028.72
30-Apr-18,28483.15,28832,28479.55,28772.75,1.02%,14358532,789.27
02-May-18,28870.7,29133.8,28697.7,28818.2,-0.18%,34644085,1637.61
03-May-18,28797.15,28865.9,28392.6,28486.3,-1.08%,20034044,1083.72
04-May-18,28615.5,28657.1,28104.85,28177.95,-1.53%,20569599,1035.83
07-May-18,28286.35,28635.25,28195,28586.5,1.06%,15509642,1004.1
08-May-18,28642.4,28692.9,28523.2,28555.15,-0.3%,20798639,2297.12
09-May-18,28481.5,28593.55,28399.05,28435.9,-0.16%,13088408,1284.42
10-May-18,28460.75,28580.75,28135.3,28231.35,-0.81%,14296838,1208.05
11-May-18,28342.15,28496.75,28213.5,28476,0.47%,12560746,1012.52
14-May-18,28519.9,28620.4,28338.7,28437.1,-0.29%,27949295,1271.39
15-May-18,28546.3,28669.1,28292.25,28352.65,-0.68%,27172742,1828.51
16-May-18,28219.6,28987.5,28200.65,28866,2.29%,35432904,1889.42
17-May-18,29002.25,29037.1,28441.6,28496,-1.75%,26796635,1431.8
18-May-18,28469,28985.6,28320.35,28852.7,1.35%,26116894,1587.91
21-May-18,28911.6,28961.6,28602.25,28673.7,-0.82%,23006893,1697.45
22-May-18,28623,28757.9,28528.2,28593.35,-0.1%,15467225,1222.31
23-May-18,28589.15,28669.3,28381.2,28415.4,-0.61%,17986609,1154.8
24-May-18,28486.6,28628.15,28327.45,28500.25,0.05%,19072318,1294.19
25-May-18,28453.35,28728.05,28303.1,28595.8,0.5%,23361306,2177.25
28-May-18,28746.6,28889.25,28640.4,28791.85,0.16%,15578568,1074.4
01-Jan-19,30579.1,30613.2,30259.65,30398.45,-0.59%,10324249,730.34
02-Jan-19,30347.6,30455.1,29985.8,30195.2,-0.5%,23768072,1510.5
03-Jan-19,30187.8,30479.3,30122.1,30189.2,0%,20217241,1252.16
04-Jan-19,30256.1,30350.3,30085.5,30190.2,-0.22%,20339807,1327.42
07-Jan-19,30440.9,30491.2,30241.9,30282.6,-0.52%,20899470,1128.42
08-Jan-19,30341.85,30385.1,30159.7,30272,-0.23%,18731288,1195.03
09-Jan-19,30404.7,30640.7,30331.05,30577.35,0.57%,24818176,1459.78
10-Jan-19,30614.55,30774.3,30519.25,30571.65,-0.14%,19305431,1139.49
11-Jan-19,30704.45,30849.25,30611.95,30759.05,0.18%,25793965,1292.49
14-Jan-19,30735.1,30753,30456.8,30716.4,-0.06%,16657850,959.76
15-Jan-19,30797.2,31045.9,30759.9,31011.05,0.69%,20150165,1256.89
16-Jan-19,30995.25,31040.85,30691,30783.85,-0.68%,17921690,1233.81
17-Jan-19,30822.3,30912.8,30514.95,30737.25,-0.28%,21370739,1338.35
18-Jan-19,30727.8,30855.95,30461.3,30540.35,-0.61%,21911405,1416.66
21-Jan-19,30626.7,30727.4,30403,30485,-0.46%,19604898,1382.95
22-Jan-19,30486.3,30592.4,30205.35,30507.6,0.07%,22864495,1510.02
23-Jan-19,30620,30854.55,29869.75,29991.4,-2.05%,51981317,2288.37
24-Jan-19,30118.75,30264.55,29983.4,30036.75,-0.27%,42081326,1999
25-Jan-19,30125.8,30331.1,29856.25,29938.05,-0.62%,22428348,1434.35
28-Jan-19,29951.8,29991.3,29533.5,29565.55,-1.29%,19921938,1136.2
29-Jan-19,29561.55,29842.1,29488.7,29758.9,0.67%,17781812,1087.29
30-Jan-19,29853.9,29857.55,29337.35,29463.85,-1.31%,30784000,2077.09
31-Jan-19,29571.8,29872.75,29450.6,29800.55,0.77%,47908371,2732.29
01-Feb-19,29936.1,30536.6,29872.2,30199.9,0.88%,43443621,2750.68
04-Feb-19,30233,30299.35,29889.2,30008.9,-0.74%,19318602,1354.11
05-Feb-19,30023.95,30053.65,29695.35,29759.85,-0.88%,37339130,2542.08
06-Feb-19,29883.35,30074.65,29805.6,30029,0.49%,28548850,2123.02
07-Feb-19,30091.65,30319.5,30034.45,30266.3,0.58%,22339374,1575.51
08-Feb-19,30163.2,30315.45,29699.9,29769.05,-1.31%,16403218,1282.18
11-Feb-19,29744.5,29842.95,29320.85,29728.5,-0.05%,24711817,1316.38
12-Feb-19,29767.6,29817.9,29483.5,29524,-0.82%,20199811,1199.92
13-Feb-19,29779.25,29970.1,29365.65,29438.5,-1.14%,29306568,1654.2
14-Feb-19,29423.8,29597.3,29399.95,29451.45,0.09%,21880290,1342.33
15-Feb-19,29542.75,29568.3,29003.25,29309.1,-0.79%,51245356,2166.68
