Date ,Open ,High ,Low ,Close ,Change_percentage,Shares_traded ,Turnover_in_crore
01-Jan-15,8272.8,8294.7,8248.75,8284,0.14%,56560411,2321.88
02-Jan-15,8288.7,8410.6,8288.7,8395.45,1.29%,101887024,4715.72
05-Jan-15,8407.95,8445.6,8363.9,8378.4,-0.35%,118160545,5525.52
06-Jan-15,8325.3,8327.85,8111.35,8127.35,-2.38%,172799618,8089.19
07-Jan-15,8118.65,8151.2,8065.45,8102.1,-0.20%,164075424,7464.33
08-Jan-15,8191.4,8243.5,8167.3,8234.6,0.53%,143802802,8147.4
09-Jan-15,8285.45,8303.3,8190.8,8284.5,-0.01%,152612528,9305.95
12-Jan-15,8291.35,8332.6,8245.6,8323,0.38%,103153908,5437.76
13-Jan-15,8346.15,8356.65,8267.9,8299.4,-0.56%,129561892,6499.2
14-Jan-15,8307.25,8326.45,8236.65,8277.55,-0.36%,150621631,7020.91
15-Jan-15,8424.5,8527.1,8380.55,8494.15,0.83%,232138802,10725.62
16-Jan-15,8504.05,8530.75,8452.25,8513.8,0.11%,181365905,8690.54
19-Jan-15,8550.05,8570.95,8531.5,8550.7,0.01%,129346422,6292.59
20-Jan-15,8575.1,8707.9,8574.5,8695.6,1.41%,158713840,7838.19
21-Jan-15,8719.65,8741.85,8689.6,8729.5,0.11%,191651012,9735.99
22-Jan-15,8745.85,8774.15,8727,8761.4,0.18%,180912372,9025.95
23-Jan-15,8827.95,8866.4,8795.4,8835.6,0.09%,197124706,9716.57
27-Jan-15,8871.35,8925.05,8825.45,8910.5,0.44%,192010521,9988.36
28-Jan-15,8902.75,8985.05,8874.05,8914.3,0.13%,190805926,10313.46
29-Jan-15,8901.5,8966.65,8861.25,8952.35,0.57%,264245843,13427.54
30-Jan-15,8996.6,8996.6,8775.1,8808.9,-2.09%,275587957,12385.18
02-Feb-15,8802.5,8840.8,8751.1,8797.4,-0.06%,216556534,10430.34
03-Feb-15,8823.15,8837.3,8726.65,8756.55,-0.75%,208672175,9888.1
04-Feb-15,8789.15,8792.85,8704.4,8723.7,-0.74%,201252375,8707.82
